Source Data for Figure 6 
red:
Index	Real(z_j)	Imag(z_j)
1	-1.499888580087	0.009020217869
2	-1.499888580087	-0.009020217869
3	-1.499648241558	-0.018280861658
4	-1.499648241558	0.018280861658
5	-1.499378711617	0.027701981645
6	-1.499378711617	-0.027701981645
7	-1.499132370955	0.037257057495
8	-1.499132370955	-0.037257057495
9	-1.498923953972	-0.046920932256
10	-1.498923953972	0.046920932256
11	-1.498752750930	0.056680314728
12	-1.498752750930	-0.056680314728
13	-1.498613611415	-0.066531042876
14	-1.498613611415	0.066531042876
15	-1.498500838521	-0.076474577923
16	-1.498500838521	0.076474577923
17	-1.498409338847	0.086515786544
18	-1.498409338847	-0.086515786544
19	-1.498334854322	-0.096661724889
20	-1.498334854322	0.096661724889
21	-1.498273911528	0.106921002082
22	-1.498273911528	-0.106921002082
23	-1.498223699503	-0.117303458901
24	-1.498223699503	0.117303458901
25	-1.498181943854	0.127820018967
26	-1.498181943854	-0.127820018967
27	-1.498146796916	-0.138482638393
28	-1.498146796916	0.138482638393
29	-1.498116747484	0.149304315939
30	-1.498116747484	-0.149304315939
31	-1.498090548485	-0.160299144476
32	-1.498090548485	0.160299144476
33	-1.498067159558	0.171482394523
34	-1.498067159558	-0.171482394523
35	-1.498045701536	-0.182870626074
36	-1.498045701536	0.182870626074
37	-1.498025420157	0.194481828203
38	-1.498025420157	-0.194481828203
39	-1.498005656864	-0.206335588155
40	-1.498005656864	0.206335588155
41	-1.497985824922	0.218453293342
42	-1.497985824922	-0.218453293342
43	-1.497965389480	-0.230858371335
44	-1.497965389480	0.230858371335
45	-1.497943850451	0.243576574711
46	-1.497943850451	-0.243576574711
47	-1.497920727297	-0.256636319697
48	-1.497920727297	0.256636319697
49	-1.497895544913	0.270069090192
50	-1.497895544913	-0.270069090192
51	-1.497867819912	-0.283909922030
52	-1.497867819912	0.283909922030
53	-1.497837046598	0.298197986793
54	-1.497837046598	-0.298197986793
55	-1.497802681901	-0.312977300232
56	-1.497802681901	0.312977300232
57	-1.497764128418	0.328297588287
58	-1.497764128418	-0.328297588287
59	-1.497720714553	-0.344215354400
60	-1.497720714553	0.344215354400
61	-1.497671670418	0.360795206792
62	-1.497671670418	-0.360795206792
63	-1.497616097731	0.378111525391
64	-1.497616097731	-0.378111525391
65	-1.497552931263	-0.396250578198
66	-1.497552931263	0.396250578198
67	-1.497480888329	0.415313240710
68	-1.497480888329	-0.415313240710
69	-1.497398401245	-0.435418536949
70	-1.497398401245	0.435418536949
71	-1.497303525136	0.456708319086
72	-1.497303525136	-0.456708319086
73	-1.497193809471	-0.479353555068
74	-1.497193809471	0.479353555068
75	-1.497066115086	0.503562936076
76	-1.497066115086	-0.503562936076
77	-1.496916347263	-0.529594912503
78	-1.496916347263	0.529594912503
79	-1.496739055881	0.557774938561
80	-1.496739055881	-0.557774938561
81	-1.496526818194	-0.588520885733
82	-1.496526818194	0.588520885733
83	-1.496269252719	0.622381752656
84	-1.496269252719	-0.622381752656
85	-1.495951379494	-0.660098990925
86	-1.495951379494	0.660098990925
87	-1.495550762368	0.702708390907
88	-1.495550762368	-0.702708390907
89	-1.495032243205	-0.751719601924
90	-1.495032243205	0.751719601924
91	-1.494337572984	0.809456969344
92	-1.494337572984	-0.809456969344
93	-1.493363347373	-0.879773528096
94	-1.493363347373	0.879773528096
95	-1.491910148132	0.969764847568
96	-1.491910148132	-0.969764847568
97	-1.489565344196	-1.094809115183
98	-1.489565344196	1.094809115183
99	-1.485782200301	-1.299432540136
100	-1.485782200301	1.299432540136
101	-0.500000000000	1.819910401868
102	-0.500000000000	-1.819910401868
103	0.485782200301	-1.299432540136
104	0.485782200301	1.299432540136
105	0.489565344196	1.094809115183
106	0.489565344196	-1.094809115183
107	0.491910148132	0.969764847568
108	0.491910148132	-0.969764847568
109	0.493363347373	-0.879773528096
110	0.493363347373	0.879773528096
111	0.494337572984	0.809456969344
112	0.494337572984	-0.809456969344
113	0.495032243205	-0.751719601924
114	0.495032243205	0.751719601924
115	0.495550762368	0.702708390907
116	0.495550762368	-0.702708390907
117	0.495951379494	-0.660098990925
118	0.495951379494	0.660098990925
119	0.496269252719	-0.622381752656
120	0.496269252719	0.622381752656
121	0.496526818194	-0.588520885733
122	0.496526818194	0.588520885733
123	0.496739055881	-0.557774938561
124	0.496739055881	0.557774938561
125	0.496916347263	-0.529594912503
126	0.496916347263	0.529594912503
127	0.497066115086	0.503562936076
128	0.497066115086	-0.503562936076
129	0.497193809471	-0.479353555068
130	0.497193809471	0.479353555068
131	0.497303525136	-0.456708319086
